mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.00786130428314209,0.0010697354968664918,0.00024864673614501955,0.00015412839890023341,linear,1.0,0.5,"{'kernel': 'linear', 'gamma': 1.0, 'C': 0.5}",-0.0016482380533701046,-0.002321596062066755,-0.003341967321327307,-0.0026824738749083206,-0.0024882484150244044,-0.0062980624450739734,-0.0019764168126351353,-0.003211740893363634,-0.003320987472307534,-0.0027590802858518215,-0.0030048811635928993,0.001220563643752578,71
0.0007523059844970703,6.302519265337417e-05,0.00025365352630615237,1.1544211843386095e-05,rbf,1.0,0.5,"{'kernel': 'rbf', 'gamma': 1.0, 'C': 0.5}",-0.0020180624428280374,-0.002367699670109307,-0.003957613650783862,-0.0024738725301105746,-0.0024026415705899933,-0.005778590799583389,-0.002192749746187194,-0.0028330097484219924,-0.002534329339382009,-0.002617928904686892,-0.0029176498402683254,0.0010774875280568203,34
0.0075234174728393555,0.0007130432021922736,0.00020015239715576172,1.4157426922790458e-05,linear,0.1,0.5,"{'kernel': 'linear', 'gamma': 0.1, 'C': 0.5}",-0.0016482380533701046,-0.002321596062066755,-0.003341967321327307,-0.0026824738749083206,-0.0024882484150244044,-0.0062980624450739734,-0.0019764168126351353,-0.003211740893363634,-0.003320987472307534,-0.0027590802858518215,-0.0030048811635928993,0.001220563643752578,71
0.0007371187210083007,6.936899490931339e-05,0.0002473592758178711,1.2425359865891113e-05,rbf,0.1,0.5,"{'kernel': 'rbf', 'gamma': 0.1, 'C': 0.5}",-0.0018431832306063955,-0.0024304570443254942,-0.0038353451928248685,-0.00252651346958282,-0.002997935710274406,-0.00569855213916853,-0.0017968434288359232,-0.0028656984066688005,-0.002657684469849509,-0.0023571633715575896,-0.002900937646369434,0.001084651613088815,4
0.007616066932678222,0.0007716073817211985,0.00024237632751464844,6.538680714499937e-05,linear,0.01,0.5,"{'kernel': 'linear', 'gamma': 0.01, 'C': 0.5}",-0.0016482380533701046,-0.002321596062066755,-0.003341967321327307,-0.0026824738749083206,-0.0024882484150244044,-0.0062980624450739734,-0.0019764168126351353,-0.003211740893363634,-0.003320987472307534,-0.0027590802858518215,-0.0030048811635928993,0.001220563643752578,71
0.0007614612579345704,7.736326908920691e-05,0.0002153635025024414,6.2646041228229624e-06,rbf,0.01,0.5,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 0.5}",-0.0018157465346527702,-0.0023986887125035244,-0.0034364439440139186,-0.0027547496583963417,-0.002740113513079577,-0.006705051883728819,-0.0019556382742669035,-0.003006998116960055,-0.0029822338059501794,-0.0026430362604259665,-0.0030438700703978054,0.0013041796783518308,188
0.007499861717224121,0.0007225013903474642,0.0001918792724609375,3.0528751950281363e-06,linear,0.001,0.5,"{'kernel': 'linear', 'gamma': 0.001, 'C': 0.5}",-0.0016482380533701046,-0.002321596062066755,-0.003341967321327307,-0.0026824738749083206,-0.0024882484150244044,-0.0062980624450739734,-0.0019764168126351353,-0.003211740893363634,-0.003320987472307534,-0.0027590802858518215,-0.0030048811635928993,0.001220563643752578,71
0.0004492044448852539,3.957395796406797e-05,0.0002096414566040039,1.7698320364508748e-05,rbf,0.001,0.5,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 0.5}",-0.0014935261854937504,-0.0020527497723088453,-0.003239190634871645,-0.0022305326381408972,-0.00217889033807442,-0.006166487836980248,-0.0016743897632504065,-0.002346005567887253,-0.0024348553562238556,-0.001989159227331487,-0.002580578732056281,0.0012760839149575786,1
0.011525988578796387,0.0017129543832795704,0.00019700527191162108,1.7424141302674734e-06,linear,1.0,1.1724137931034484,"{'kernel': 'linear', 'gamma': 1.0, 'C': 1.1724137931034484}",-0.001650726957947888,-0.002341675728678833,-0.003343907124440041,-0.00268159618833118,-0.002482093752685855,-0.006302912878134193,-0.0019812541279697086,-0.0032169122322283214,-0.0033193544823504574,-0.002801964560106693,-0.0030122398032873176,0.001219657464560097,115
0.0007493972778320312,6.794927831281489e-05,0.0002508878707885742,9.38355072718106e-06,rbf,1.0,1.1724137931034484,"{'kernel': 'rbf', 'gamma': 1.0, 'C': 1.1724137931034484}",-0.0020180624428280374,-0.002367699670109307,-0.003957613650783862,-0.0024738725301105746,-0.0024026415705899933,-0.005778590799583389,-0.002192749746187194,-0.0028330097484219924,-0.002534329339382009,-0.002617928904686892,-0.0029176498402683254,0.0010774875280568203,34
0.011505341529846192,0.0017058661612791353,0.0001950502395629883,1.604505668486713e-06,linear,0.1,1.1724137931034484,"{'kernel': 'linear', 'gamma': 0.1, 'C': 1.1724137931034484}",-0.001650726957947888,-0.002341675728678833,-0.003343907124440041,-0.00268159618833118,-0.002482093752685855,-0.006302912878134193,-0.0019812541279697086,-0.0032169122322283214,-0.0033193544823504574,-0.002801964560106693,-0.0030122398032873176,0.001219657464560097,115
0.0007319211959838867,6.933763621812556e-05,0.00024349689483642577,1.1692748157648998e-05,rbf,0.1,1.1724137931034484,"{'kernel': 'rbf', 'gamma': 0.1, 'C': 1.1724137931034484}",-0.0018431832306063955,-0.0024304570443254942,-0.0038353451928248685,-0.00252651346958282,-0.002997935710274406,-0.00569855213916853,-0.0017968434288359232,-0.0028656984066688005,-0.002657684469849509,-0.0023571633715575896,-0.002900937646369434,0.001084651613088815,4
0.011489033699035645,0.001725933917726125,0.00020377635955810548,1.7676145070249506e-05,linear,0.01,1.1724137931034484,"{'kernel': 'linear', 'gamma': 0.01, 'C': 1.1724137931034484}",-0.001650726957947888,-0.002341675728678833,-0.003343907124440041,-0.00268159618833118,-0.002482093752685855,-0.006302912878134193,-0.0019812541279697086,-0.0032169122322283214,-0.0033193544823504574,-0.002801964560106693,-0.0030122398032873176,0.001219657464560097,115
0.0012265682220458985,0.00015040249007745163,0.00023500919342041017,7.81347555769495e-06,rbf,0.01,1.1724137931034484,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 1.1724137931034484}",-0.0021004310892740593,-0.002602924426218553,-0.003630713534672001,-0.0026766403408590225,-0.0034140829951396392,-0.006984475454093695,-0.0020999232913636113,-0.0030958353408007573,-0.0029495979040823723,-0.0028118703191762715,-0.003236649469567999,0.001334690584635383,212
0.011791825294494629,0.0018408981505295555,0.00025115013122558596,5.488250690735512e-05,linear,0.001,1.1724137931034484,"{'kernel': 'linear', 'gamma': 0.001, 'C': 1.1724137931034484}",-0.001650726957947888,-0.002341675728678833,-0.003343907124440041,-0.00268159618833118,-0.002482093752685855,-0.006302912878134193,-0.0019812541279697086,-0.0032169122322283214,-0.0033193544823504574,-0.002801964560106693,-0.0030122398032873176,0.001219657464560097,115
0.0005117177963256836,3.597420349298136e-05,0.00020294189453125,3.4265984007304537e-06,rbf,0.001,1.1724137931034484,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 1.1724137931034484}",-0.0015792126110920073,-0.0021507555542448964,-0.0032529077853902114,-0.0023527072613962778,-0.0023048408668492294,-0.0061978276076854015,-0.0018177167012850496,-0.002691043687340996,-0.0028843012974262045,-0.002329836568323328,-0.00275611499410336,0.0012366529365524454,2
0.015160298347473145,0.0021949420904673706,0.00021116733551025392,3.444633643415066e-05,linear,1.0,1.8448275862068966,"{'kernel': 'linear', 'gamma': 1.0, 'C': 1.8448275862068966}",-0.0016477600038921642,-0.002337969642485226,-0.0033580903844222573,-0.002682054350719704,-0.002489503049201964,-0.00630054008175361,-0.0019851194241524506,-0.003218498168912194,-0.00332363385893884,-0.002767289286819612,-0.0030110458251298025,0.00122007067048988,99
0.0007515430450439453,6.725008414616932e-05,0.00025260448455810547,1.0812880563654302e-05,rbf,1.0,1.8448275862068966,"{'kernel': 'rbf', 'gamma': 1.0, 'C': 1.8448275862068966}",-0.0020180624428280374,-0.002367699670109307,-0.003957613650783862,-0.0024738725301105746,-0.0024026415705899933,-0.005778590799583389,-0.002192749746187194,-0.0028330097484219924,-0.002534329339382009,-0.002617928904686892,-0.0029176498402683254,0.0010774875280568203,34
0.015138077735900878,0.0021670883229322362,0.00020205974578857422,3.4007048632939893e-06,linear,0.1,1.8448275862068966,"{'kernel': 'linear', 'gamma': 0.1, 'C': 1.8448275862068966}",-0.0016477600038921642,-0.002337969642485226,-0.0033580903844222573,-0.002682054350719704,-0.002489503049201964,-0.00630054008175361,-0.0019851194241524506,-0.003218498168912194,-0.00332363385893884,-0.002767289286819612,-0.0030110458251298025,0.00122007067048988,99
0.000730443000793457,6.89653136006753e-05,0.0002439260482788086,1.0202783175467815e-05,rbf,0.1,1.8448275862068966,"{'kernel': 'rbf', 'gamma': 0.1, 'C': 1.8448275862068966}",-0.0018431832306063955,-0.0024304570443254942,-0.0038353451928248685,-0.00252651346958282,-0.002997935710274406,-0.00569855213916853,-0.0017968434288359232,-0.0028656984066688005,-0.002657684469849509,-0.0023571633715575896,-0.002900937646369434,0.001084651613088815,4
0.015158843994140626,0.0021382084984968726,0.00020079612731933595,2.4680641736235684e-06,linear,0.01,1.8448275862068966,"{'kernel': 'linear', 'gamma': 0.01, 'C': 1.8448275862068966}",-0.0016477600038921642,-0.002337969642485226,-0.0033580903844222573,-0.002682054350719704,-0.002489503049201964,-0.00630054008175361,-0.0019851194241524506,-0.003218498168912194,-0.00332363385893884,-0.002767289286819612,-0.0030110458251298025,0.00122007067048988,99
