COUNTY_FIPS,County_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
01001,55380,43,69,21,53,20,21,9,79,-.18341847,.15185171,.10526665,.11483394,.44933459,.043978129,.26709351,.011356732
01003,212830,16,28,11,33,7,14,13,75,-1.0888273,.10354073,.091271251,.091938429,.42697471,.032818485,.24754727,.012875324
01005,25361,99,100,94,99,84,66,71,100,1.7168516,.30668688,.18942945,.26786909,.92858732,.10165864,.39101124,.038523275
01007,22493,64,86,15,96,49,17,9,99,.46847874,.18127181,.097932763,.20942603,.76694638,.061674647,.25584096,.011173995
01009,57681,43,51,11,90,14,7,30,97,-.21150355,.13551517,.091501951,.19509436,.62749064,.041252937,.21221279,.017940231
01011,10248,84,100,100,98,88,27,1,95,1.1248314,.2887367,.28194889,.25320378,.58459568,.10707185,.28883839,0
01013,19828,77,95,55,78,65,31,22,92,.80245554,.22502559,.13599631,.1495043,.52747381,.075007685,.30049184,.015370428
01015,114618,72,86,69,80,45,30,26,91,.68523514,.17902674,.15033378,.15567325,.52310002,.059612151,.29931623,.016791839
01017,33660,81,83,65,86,63,40,82,79,.99981523,.17252213,.1452122,.18378241,.45059288,.072873287,.32540154,.052721594
01019,25903,42,56,1,87,20,9,14,95,-.23721878,.13922021,.065143012,.18427466,.58286583,.044705223,.2265996,.013225296
01021,44055,77,89,65,86,28,16,60,96,.78287333,.19115819,.14519651,.18218732,.58967835,.049506705,.25503632,.029715838
01023,12925,68,96,33,89,79,3,4,100,.5856334,.23348017,.11686046,.18619359,.84984726,.092264153,.19094339,.0084905662
01025,24128,79,96,37,90,70,30,25,100,.88076901,.23209751,.12133522,.19433512,.86731207,.080748074,.29900989,.016281629
01027,13337,67,86,76,97,25,14,5,86,.56090587,.17947735,.15793736,.23311132,.49034682,.047903039,.24547903,.0092343213
01029,14916,57,83,1,96,28,13,3,95,.25523961,.17283529,.064372048,.20971282,.5786885,.049647886,.2387324,.0084507046
01031,51662,66,68,78,74,42,47,29,80,.49183959,.15069355,.16010766,.14073612,.46258831,.058723148,.34255171,.017566754
01033,54771,53,71,36,77,36,24,1,90,.1294876,.15466008,.11961884,.1484381,.51385891,.054753199,.27806216,.0059872027
01035,12394,66,84,86,80,55,13,1,99,.52090406,.17593423,.17017017,.15668516,.75005484,.067647703,.23896332,.0043927082
01037,10757,45,51,3,90,13,6,58,97,-.1252331,.13512991,.073391043,.20002422,.63640648,.040178571,.20758928,.028025793
01039,37200,69,87,54,83,34,16,41,92,.60910499,.18586992,.13492544,.16585626,.52961361,.053864799,.25525182,.021141933
01041,13844,55,69,31,93,56,14,4,92,.18693128,.15158188,.11465721,.20804954,.53303736,.067772605,.24519522,.0086991703
01043,82853,52,64,20,87,11,16,35,91,.070585199,.14869419,.1032261,.18445762,.52201259,.038022812,.25191724,.019365856
01045,49277,77,85,50,71,28,67,22,97,.77151024,.17645949,.1339992,.13879853,.60808283,.04929278,.39912793,.015261087
01047,39149,97,100,98,86,94,69,35,98,1.516856,.29066569,.20972115,.18156488,.6690923,.1396606,.40659961,.019233186
01049,71310,80,94,40,98,30,26,60,91,.92622328,.21083079,.12360346,.2515524,.5229857,.051612902,.28467742,.029339477
01051,81144,34,36,23,69,21,21,25,94,-.46869922,.11508802,.10766373,.13376001,.55759972,.045307662,.26743639,.016190926
01053,37057,79,95,55,89,30,37,29,99,.89581221,.2215084,.13567777,.18863839,.7900154,.051035222,.31675452,.017572006
01055,102748,66,84,57,80,48,23,13,93,.51345563,.17390919,.13863531,.15447301,.53461641,.060782701,.27412564,.012813929
01057,16494,63,90,13,83,65,9,11,97,.4113296,.19441354,.095936321,.17401333,.62559026,.075418994,.22743312,.012055278
