risk_question1,risk_question2,correlation,risk_question1_number,risk_question2_number
work_90improv_90death_trial,work_50improv_90death_trial,0.9216084522470495,49,45
exer_50pain_90death_trial,exer_90pain_90death_trial,0.8847673431060057,21,25
work_50improv_50death_trial,work_90improv_50death_trial,0.8834210380813003,44,48
work_50improv_50para_trial,work_50improv_90para_trial,0.8671387608989749,36,37
work_90improv_90death_trial,work_90improv_90para_trial,0.8529158691541272,49,41
work_90improv_1death_trial,work_50improv_1death_trial,0.8473758544705192,46,42
work_90improv_90para_trial,work_50improv_90death_trial,0.8468832670686347,41,45
work_50improv_90para_trial,work_90improv_90death_trial,0.8420080706598903,37,49
work_90improv_90para_trial,work_50improv_90para_trial,0.8399930740917543,41,37
work_90improv_1para_trial,work_90improv_1death_trial,0.8217340738087336,38,46
exer_50pain_90death_trial,exer_50improv_90drop_trial,0.8172697916565161,21,13
exer_50improv_10drop_trial,exer_50improv_1drop_trial,0.8124653898202076,11,10
exer_90pain_1death_trial,work_50improv_1death_trial,0.8123101635323143,22,42
exer_90pain_90death_trial,exer_50pain_50death_trial,0.8033146071493629,25,20
work_90improv_90drop_trial,work_50improv_90drop_trial,0.7984762553725855,33,29
exer_50pain_1death_trial,work_50improv_1death_trial,0.7953639442157776,18,42
work_50improv_1drop_trial,work_50improv_10drop_trial,0.7911529659821825,26,27
work_50improv_90para_trial,work_50improv_90death_trial,0.7906982122962253,37,45
exer_50pain_90death_trial,exer_50pain_50death_trial,0.7904447223992009,21,20
exer_90pain_1death_trial,work_90improv_1death_trial,0.7887770191360923,22,46
work_90improv_90death_trial,work_50improv_50para_trial,0.7867552293149299,49,36
work_50improv_1death_trial,work_90improv_1para_trial,0.7860692219726589,42,38
exer_50improv_90drop_trial,exer_90improv_90drop_trial,0.7850678261861883,13,17
work_90improv_90para_trial,work_50improv_50para_trial,0.7812506866350468,41,36
exer_90pain_1death_trial,exer_50pain_1death_trial,0.7781345740851264,22,18
work_90improv_1para_trial,exer_90pain_1death_trial,0.7780768601870777,38,22
exer_90pain_90death_trial,work_50improv_90para_trial,0.7746827308769937,25,37
exer_90pain_50death_trial,exer_50pain_50death_trial,0.7745072212020481,24,20
work_50improv_1para_trial,exer_50pain_1death_trial,0.7732886769606143,34,18
work_50improv_50death_trial,work_90improv_90death_trial,0.7716361963746879,44,49
work_50improv_90para_trial,exer_50pain_90death_trial,0.7697090592267521,37,21
work_90improv_50death_trial,work_90improv_90para_trial,0.7669309770064854,48,41
work_90improv_10death_trial,work_90improv_1death_trial,0.7628284609216799,47,46
exer_50improv_90drop_trial,exer_90pain_90death_trial,0.7604501521804667,13,25
work_50improv_50death_trial,work_90improv_90para_trial,0.7586969908101235,44,41
work_50improv_50death_trial,work_50improv_50para_trial,0.7561771849997839,44,36
work_50improv_10death_trial,work_90improv_10para_trial,0.7548185955128661,43,39
exer_90pain_90death_trial,exer_90pain_50death_trial,0.7503601303925683,25,24
exer_90pain_90death_trial,work_90improv_90death_trial,0.7476012136417731,25,49
work_50improv_1para_trial,work_90improv_1para_trial,0.7461340325781134,34,38
work_50improv_1para_trial,work_50improv_1death_trial,0.7460430838885747,34,42
work_90improv_10para_trial,work_90improv_10death_trial,0.7447687787462002,39,47
work_50improv_50para_trial,work_90improv_50death_trial,0.7434168489242604,36,48
exer_90improv_90drop_trial,work_90improv_90drop_trial,0.7412372338783368,17,33
work_90improv_1death_trial,work_90improv_10para_trial,0.7406777017383905,46,39
exer_90improv_90drop_trial,exer_90pain_90death_trial,0.7392175558361692,17,25
exer_90improv_90drop_trial,work_50improv_90drop_trial,0.7387687943560723,17,29
exer_50improv_50drop_trial,exer_50improv_90drop_trial,0.735553256011359,12,13
work_50improv_90para_trial,work_50improv_50death_trial,0.7336306775117742,37,44
exer_50pain_90death_trial,exer_90pain_50death_trial,0.7334479639312816,21,24
exer_50improv_90drop_trial,work_50improv_90drop_trial,0.7283598121457465,13,29
exer_90pain_10death_trial,exer_90pain_1death_trial,0.7277212011773451,23,22
exer_90pain_90death_trial,work_50improv_90drop_trial,0.7276380728648448,25,29
work_50improv_50para_trial,exer_90pain_90death_trial,0.7273544624987334,36,25
exer_50pain_90death_trial,exer_90improv_90drop_trial,0.7230267706386879,21,17
work_50improv_10death_trial,exer_90pain_10death_trial,0.7193363408078867,43,23
work_50improv_50para_trial,exer_50pain_50death_trial,0.712839172882754,36,20
work_50improv_1para_trial,exer_90pain_1death_trial,0.7123440250227309,34,22
work_50improv_10death_trial,exer_50pain_10death_trial,0.7087540369414269,43,19
work_90improv_10para_trial,work_50improv_1death_trial,0.7049273391368199,39,42
work_50improv_90drop_trial,exer_50pain_90death_trial,0.7048961897434921,29,21
work_50improv_1para_trial,work_90improv_1death_trial,0.7021524996482192,34,46
work_50improv_1death_trial,work_50improv_10death_trial,0.7007383965108108,42,43
work_90improv_50drop_trial,work_50improv_50drop_trial,0.7006914154497291,32,28
exer_90improv_10drop_trial,exer_90improv_1drop_trial,0.699964403058543,15,14
work_90improv_50death_trial,work_90improv_90death_trial,0.6999469507923998,48,49
exer_90improv_50drop_trial,exer_90improv_90drop_trial,0.6952764594565165,16,17
work_50improv_10para_trial,work_90improv_10para_trial,0.692516934025327,35,39
work_90improv_10para_trial,exer_90pain_10death_trial,0.6918334049505918,39,23
work_50improv_1para_trial,work_50improv_10para_trial,0.6912333973852796,34,35
exer_90pain_90death_trial,work_50improv_50death_trial,0.6909637790924731,25,44
work_90improv_10death_trial,work_50improv_10death_trial,0.6907606254523395,47,43
work_50improv_90para_trial,work_90improv_50death_trial,0.688940100508619,37,48
work_50improv_90death_trial,work_50improv_50para_trial,0.6883441518364605,45,36
exer_90pain_1death_trial,work_90improv_10para_trial,0.688075055476244,22,39
exer_50improv_90drop_trial,exer_90pain_50death_trial,0.6878993596314524,13,24
work_90improv_50drop_trial,work_90improv_90drop_trial,0.6877202100116502,32,33
exer_50pain_10death_trial,work_50improv_50para_trial,0.6862539699360103,19,36
work_90improv_10death_trial,work_50improv_1death_trial,0.6860405676099498,47,42
work_50improv_50para_trial,work_90improv_50para_trial,0.6844838075822488,36,40
work_90improv_10para_trial,work_90improv_1para_trial,0.683882997235538,39,38
work_90improv_90para_trial,exer_90pain_90death_trial,0.6814158223511351,41,25
work_50improv_50death_trial,work_50improv_10death_trial,0.6784267020915415,44,43
work_90improv_50death_trial,work_90improv_50para_trial,0.6738412299493483,48,40
